01:10; temperature; -1
01:10; wind_speed; 24
01:10; pressure; 743
01:11; temperature; -11
01:11; wind_speed; 12
01:11; pressure; 739
13:55; temperature; -11
13:55; wind_speed; 1
13:55; pressure; 746
13:55; temperature; -15
13:55; wind_speed; 17
13:55; pressure; 727
13:55; temperature; -19
13:55; wind_speed; 21
13:55; pressure; 744
13:57; temperature; -3
13:57; wind_speed; 8
13:57; pressure; 746
13:57; temperature; -18
13:57; wind_speed; 21
13:57; pressure; 731
13:57; temperature; -8
13:57; wind_speed; 24
13:57; pressure; 720
13:57; temperature; -6
13:57; wind_speed; 7
13:57; pressure; 750
13:59; temperature; -10
13:59; wind_speed; 5
13:59; pressure; 747
13:59; temperature; -16
13:59; wind_speed; 15
13:59; pressure; 729
14:01; temperature; -1
14:01; wind_speed; 27
14:01; pressure; 730
14:01; temperature; -16
14:01; wind_speed; 8
14:01; pressure; 740
18:17; temperature; -19
18:17; wind_speed; 16
18:17; pressure; 725
18:17; temperature; -11
18:17; wind_speed; 25
18:17; pressure; 743
